"xCoords","yCoords","width","colorToUse"
"273",1,5.5,0.0799353994087997,"#377eb8"
"274",1.2,5.2,0.0799353994087997,"#377eb8"
"275",1.4,5.2,0.0799353994087997,"#377eb8"
"276",NA,NA,NA,NA
"277",2,2.8,0.0799353994087997,"#4daf4a"
"278",1.8,3.1,0.0799353994087997,"#4daf4a"
"279",1.6,3.1,0.0799353994087997,"#4daf4a"
"280",NA,NA,NA,NA
"281",1,3.7,0.341786238894385,"#ffd300"
"282",1.2,4,0.341786238894385,"#ffd300"
"283",1.4,4,0.341786238894385,"#ffd300"
"284",NA,NA,NA,NA
"285",2,6.4,0.341786238894385,"#a65628"
"286",1.8,6.1,0.341786238894385,"#a65628"
"287",1.6,6.1,0.341786238894385,"#a65628"
"288",NA,NA,NA,NA
"289",1,3.7,0.072059548384718,"#e41a1c"
"290",1.2,3.5,0.072059548384718,"#e41a1c"
"291",1.4,3.5,0.072059548384718,"#e41a1c"
"292",NA,NA,NA,NA
"293",2,1.9,0.072059548384718,"#a65628"
"294",1.8,2.1,0.072059548384718,"#a65628"
"295",1.6,2.1,0.072059548384718,"#a65628"
"296",NA,NA,NA,NA
"297",1,3.7,0.0408168058850783,"#f781bf"
"298",1.2,3.8,0.0408168058850783,"#f781bf"
"299",1.4,3.8,0.0408168058850783,"#f781bf"
"300",NA,NA,NA,NA
"301",2,4.6,0.0408168058850783,"#a65628"
"302",1.8,4.5,0.0408168058850783,"#a65628"
"303",1.6,4.5,0.0408168058850783,"#a65628"
"304",NA,NA,NA,NA
"305",1,3.7,0.44689257157193,"#AAAAAA"
"306",1.2,3.4,0.44689257157193,"#AAAAAA"
"307",1.4,3.4,0.44689257157193,"#AAAAAA"
"308",NA,NA,NA,NA
"309",2,1,0.44689257157193,"#a65628"
"310",1.8,1.3,0.44689257157193,"#a65628"
"311",1.6,1.3,0.44689257157193,"#a65628"
"312",NA,NA,NA,NA
"313",1,3.7,1.61713960439674,"#4daf4a"
"314",1.2,3.9,1.61713960439674,"#4daf4a"
"315",1.4,3.9,1.61713960439674,"#4daf4a"
"316",NA,NA,NA,NA
"317",2,5.5,1.61713960439674,"#a65628"
"318",1.8,5.3,1.61713960439674,"#a65628"
"319",1.6,5.3,1.61713960439674,"#a65628"
"320",NA,NA,NA,NA
"321",1,3.7,0.338815602625028,"#a65628"
"322",1.2,3.7,0.338815602625028,"#a65628"
"323",1.4,3.7,0.338815602625028,"#a65628"
"324",NA,NA,NA,NA
"325",2,3.7,0.338815602625028,"#a65628"
"326",1.8,3.7,0.338815602625028,"#a65628"
"327",1.6,3.7,0.338815602625028,"#a65628"
"328",NA,NA,NA,NA
"329",1,3.7,0.519052596148736,"#377eb8"
"330",1.2,3.6,0.519052596148736,"#377eb8"
"331",1.4,3.6,0.519052596148736,"#377eb8"
"332",NA,NA,NA,NA
"333",2,2.8,0.519052596148736,"#a65628"
"334",1.8,2.9,0.519052596148736,"#a65628"
"335",1.6,2.9,0.519052596148736,"#a65628"
"336",NA,NA,NA,NA
"337",1,2.8,0.203413639094575,"#ffd300"
"338",1.2,3.2,0.203413639094575,"#ffd300"
"339",1.4,3.2,0.203413639094575,"#ffd300"
"340",NA,NA,NA,NA
"341",2,6.4,0.203413639094575,"#377eb8"
"342",1.8,6,0.203413639094575,"#377eb8"
"343",1.6,6,0.203413639094575,"#377eb8"
"344",NA,NA,NA,NA
"345",1,2.8,0.0426986755483667,"#e41a1c"
"346",1.2,2.7,0.0426986755483667,"#e41a1c"
"347",1.4,2.7,0.0426986755483667,"#e41a1c"
"348",NA,NA,NA,NA
"349",2,1.9,0.0426986755483667,"#377eb8"
"350",1.8,2,0.0426986755483667,"#377eb8"
"351",1.6,2,0.0426986755483667,"#377eb8"
"352",NA,NA,NA,NA
"353",1,2.8,0.00108176621563645,"#f781bf"
"354",1.2,3,0.00108176621563645,"#f781bf"
"355",1.4,3,0.00108176621563645,"#f781bf"
"356",NA,NA,NA,NA
"357",2,4.6,0.00108176621563645,"#377eb8"
"358",1.8,4.4,0.00108176621563645,"#377eb8"
"359",1.6,4.4,0.00108176621563645,"#377eb8"
"360",NA,NA,NA,NA
"361",1,2.8,0.028959791643344,"#AAAAAA"
"362",1.2,2.6,0.028959791643344,"#AAAAAA"
"363",1.4,2.6,0.028959791643344,"#AAAAAA"
"364",NA,NA,NA,NA
"365",2,1,0.028959791643344,"#377eb8"
"366",1.8,1.2,0.028959791643344,"#377eb8"
"367",1.6,1.2,0.028959791643344,"#377eb8"
"368",NA,NA,NA,NA
"369",1,2.8,0.262642295392115,"#4daf4a"
"370",1.2,3.1,0.262642295392115,"#4daf4a"
"371",1.4,3.1,0.262642295392115,"#4daf4a"
"372",NA,NA,NA,NA
"373",2,5.5,0.262642295392115,"#377eb8"
"374",1.8,5.2,0.262642295392115,"#377eb8"
"375",1.6,5.2,0.262642295392115,"#377eb8"
"376",NA,NA,NA,NA
"377",1,2.8,0.238595954256945,"#a65628"
"378",1.2,2.9,0.238595954256945,"#a65628"
"379",1.4,2.9,0.238595954256945,"#a65628"
"380",NA,NA,NA,NA
"381",2,3.7,0.238595954256945,"#377eb8"
"382",1.8,3.6,0.238595954256945,"#377eb8"
"383",1.6,3.6,0.238595954256945,"#377eb8"
"384",NA,NA,NA,NA
"385",1,2.8,0.00258643837092218,"#377eb8"
"386",1.2,2.8,0.00258643837092218,"#377eb8"
